text,label
 sẽ giết ,1
Hôm nay trời đẹp quá đi chơi không,0
 mà còn nói nữa thì đừng trách ,1
Chúc  một ngày tốt lành,0
Câm miệng lại,1
Hôm qua  xem phim rất vui,0
 sẽ cho  một bài học,1
Cảm ơn  vì đã giúp đỡ ,0
 sẽ không để  yên đâu,1
Mình đi ăn trưa nhé,0
 không xứng đáng sống trên đời này,1
Chúc mừng  đã đạt giải thưởng lớn,0
Đừng để  phải động tay chân,1
Hôm nay thật là một ngày tuyệt vời,0
 mà gặp  thì  chết chắc,1
Công việc hôm nay có vẻ hơi bận rộn,0
 dám phản bội  hả,1
Tôi rất vui được làm quen với ,0
 sẽ cho  biết thế nào là đau đớn,1
Cuối tuần này đi chơi không,0
Đừng hòng thoát khỏi tay ,1
Mình vừa hoàn thành xong bài tập vui quá,0
 chuẩn bị tinh thần đi,1
Cảm ơn  đã ghé thăm cửa hàng của chúng ,0
 sẽ hối hận vì đã làm thế với ,1
Chúc ngủ ngon và mơ đẹp nhé,0
Nếu  thấy  lần nữa thì đừng trách,1
Hôm nay  đi xem phim rất thú vị,0
 định trốn hả Không dễ đâu,1
Hy vọng mọi thứ đều ổn với ,0
 không để yên cho  đâu,1
Hãy luôn giữ nụ cười trên môi,0
 sẽ xử lý  ngay lập tức,1
Cảm ơn vì đã luôn ở bên ,0
 có muốn ăn đòn không,1
Chúng ta nên tôn trọng lẫn nhau,0
Đừng để  phải nhắc lại lần nữa,1
Hôm nay thời tiết thật đẹp để đi dạo,0
 không có quyền lên tiếng ở đây,1
Hẹn gặp lại  vào ngày mai,0
 sẽ trả thù  ngay lập tức,1
Chúng ta nên gặp nhau để nói chuyện,0
 dám làm thế với  à,1
Hãy cùng nhau cố gắng hơn nữa nhé,0
Nếu gặp  thì  không yên đâu,1
Chúc  có một ngày làm việc hiệu quả,0
 sẽ không tha cho ,1
Mình vừa hoàn thành kế hoạch rất vui,0
 sẽ không để  thoát khỏi tay ,1
 sẽ giết ,1
 sẽ không tha cho ,1
giết,1
đâm,1
chém,1
fuck,1
đụ má,1
yêu ,0
má nó,1
má ,1
 sẽ di chuyển qua vị trí đó,0
cứt chó,1
chó má thật chứ,1
 là con chó đẻ,1
 sẽ cho  biết thế nào là lễ độ,1
 nghĩ  nên xử nó như thế nào,1
địt mẹ,1
con yêu mẹ,0
mẹ ơi con đói bụng quá,0
cái thằng cha ,1
tổ sư nhà chúng ,1
con cặc,1
cái lồn,1
 thật sự rất đẹp trai,0
cặc,1
lồn,1
 là con đỉ lồn,1
 là con đỉ,1
đỉ,1
đĩ,1
ngu,1
sao  ngu quá vậy,1
 là con chó ngu,1
 rất thích nuôi chó,0
 rất thích nuôi mèo,0
con chó này dễ thương quá,0
sẽ thật tuyệt nếu chúng ta yêu nhau,0
 yêu ,0
hôm nay là thứ mấy,0
 chưa thấy ai ngu ngốc như ,1
sao mà  ngu quá vậy,1
porn,1
pornhub,1
kill,1
I will kill you,1
you are son of a bitch,1
bitch,1
cunt,1
xử lý tốt vấn đề,0
tìm cách xử lý vấn đề,0

dick,1
penis,1
stupid,1
stupid dog,1
you are stupid as fuck,1
I love you so much,0
love you,0
I will marry you,0
I think I will do it tonight,0
Can you come and fuck me,1
 muốn kết hôn với ,0
cái đồ dâm đảng,1
sục,1
buồi,1
sục buồi,1
Trần Vũ Bình,0
báo cáo niên luận chưa,0
luận văn tiến sĩ,0
 yêu Việt Nam,0
VNCH,1
Việt Tân,1
API sẽ trả về các giá trị,0
Hãy thử nghiệm với văn bản cụ thể để đánh giá hiệu quả,0
Cải thiện khả năng phân tích tiếng Việt,0
cung cấp các thuộc tính,0
thôi cãi nhau với hội này chỉ tốn thời gian,0
Ai cứu  với,0
Biểu cảm của các idol có mặt tại MAMA Awards 2024 khi BIGBANG tái xuất sau 7 năm vắng bóng,0
You can drive for 149 hours across Russian and still be in Russian,0
Nay  đi nhận BIB ạ,0
Mà giờ này người ta nghỉ rồi,0
Monica Belluci là giấc mơ từ thời ông nội đến tận các cháu luôn được à,0
When next year makes it 10 years since you last won the Champions League trophy but you  are just a chill guy,0
Đầu năm đắt bằng còn Mẹc giờ ngang Vios chắc tháng sau ngang con VF 3 quá,0
sao lại hỏi bao lâu có cho dữ kiện hái 1 quả hết bao lâu đâu,0
sao  lại không tâm lý lãng mạng hơn được nhỉ,0
fwb,1
chịch,1
quan hệ tình dục,1
người yêu,0
 gái,0
 trai,0
 muốn chịch ,1
 hẹn  tối nay,0
 hẹn  pickleball,0
ê t thích ăn chuối thiệt đó,0
vãi lồn,1
địt mẹ ,1
vãi cả cứt,1
cức,1
cái thằng đáng yêu này,0
cái thằng đáng ghét này,0
cái thằng đáng yêu quá,0
cái thằng đáng ghét quá,0
cái thằng đáng yêu vãi,0
cái thằng đáng ghét vãi,0
cái thằng đáng yêu vãi cả lồn,1
cái thằng đáng ghét vãi cả lồn,1
